	Skill	NumAds	Percentage
2	Flume	1	0.07739938080495357
17	Shark	1	0.07739938080495357
14	LaTex	1	0.07739938080495357
8	Oozie	1	0.07739938080495357
13	D3.js	2	0.15479876160990713
31	Julia	4	0.30959752321981426
16	MongoDB	5	0.38699690402476783
9	Cassandra	5	0.38699690402476783
24	Mahout	6	0.46439628482972134
15	STATA	6	0.46439628482972134
20	D3	7	0.541795665634675
0	HBase	10	0.7739938080495357
1	HTML	11	0.8513931888544891
3	MapReduce	16	1.238390092879257
7	Tableau	17	1.3157894736842104
6	Scala	17	1.3157894736842104
10	NoSQL	20	1.5479876160990713
29	Hive	23	1.780185758513932
26	SPSS	25	1.9349845201238391
23	PHP	25	1.9349845201238391
30	Ruby	31	2.3993808049535605
27	Pig	33	2.5541795665634677
28	Perl	35	2.708978328173375
5	MATLAB	35	2.708978328173375
4	SAS	39	3.018575851393189
32	Spark	40	3.0959752321981426
33	Hadoop	57	4.411764705882353
11	C++	60	4.643962848297214
19	Java	74	5.727554179566564
12	JavaScript	75	5.8049535603715166
25	SQL	93	7.198142414860681
18	Excel	99	7.662538699690402
22	Python	120	9.287925696594428
21	R	246	19.040247678018577
